Restaurant ID,Restaurant Name,City,Address,Zone,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisines,Has Online delivery,Is delivering now,
18371415,A Piece of Paris,Gurgaon,"Next to Citibank ATM, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,600,2,3.9,Yellow,Good,43,"North Indian, Chinese, Street Food, Fast Food",Yes,No,
305687,Chaayos,Gurgaon,"Amenity Block, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,400,1,3.8,Yellow,Good,127,"Bakery, Fast Food, Chinese",No,No,
309642,Doughlicious,Gurgaon,"Unit 11, Ground Floor, Amenity Block, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,550,2,3.6,Yellow,Good,60,Fast Food,No,No,
18273546,Eggers Madhouse,Gurgaon,"15, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,3.7,Yellow,Good,51,Chinese,No,No,
18349911,Live Wok,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,3.6,Yellow,Good,45,"North Indian, Mughlai",No,No,
300652,Orange Chopsticks,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,1300,3,3.5,Yellow,Good,200,"Ice Cream, Desserts",No,No,
302239,Pizzoccheri,Gurgaon,"Block 4, Unitech Infospace, Opposite IDPL, Old Delhi Gurgaon Road, Sector 21, Gurgaon",Northern Zone,800,2,3.6,Yellow,Good,76,Bakery,No,No,
18458317,Creamy Innovation,Gurgaon,"Counter 7, Food Court, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,0,White,Not rated,0,North Indian,No,No,
18237348,Dosa Republic,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,300,1,0,White,Not rated,1,"South Indian, Biryani",No,No,
18311959,Giani's,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,250,1,0,White,Not rated,2,North Indian,No,No,
309308,Chai Point,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,200,1,2.4,Red,Poor,49,North Indian,No,No,
301559,Latitude - Vivanta By Taj,Gurgaon,"Vivanta by Taj, Near HUDA City Center Metro Station, Sector 44, Gurgaon",Northern Zone,3500,4,3.8,Yellow,Good,305,"Burger, Fast Food, Chinese",No,No,
